 Time (s)             origin (pixels)          xPoint (1,0)            yPoint (0,1)          xVec (pixels)            yVec (pixels)
###################################################################################################################################
1.533982448		(412, 152) 		(452, 133) 		(389, 118) 		<40, 19> 		<-23, 34>
1.638592328 		(412, 152) 		(452, 133) 		(390, 118) 		<40, 19> 		<-22, 34>
1.679049791 		(412, 152) 		(452, 133) 		(390, 118) 		<40, 19> 		<-22, 34>
1.722141846 		(412, 152) 		(452, 133) 		(390, 118) 		<40, 19> 		<-22, 34>
1.782911276		(413, 153) 		(452, 133) 		(390, 118) 		<39, 20> 		<-23, 35>
...
24.379772000 		(413, 153) 		(452, 133) 		(390, 118) 		<39, 20> 		<-23, 35>
24.441804162 		(413, 153) 		(452, 133) 		(390, 118) 		<39, 20> 		<-23, 35>
24.514366797 		(413, 153) 		(452, 133) 		(390, 118) 		<39, 20> 		<-23, 35>
24.580388152 		(413, 153) 		(452, 133) 		(390, 118) 		<39, 20> 		<-23, 35>
24.642733072 		(413, 153) 		(452, 133) 		(390, 118) 		<39, 20> 		<-23, 35>
